year,iso_o,iso_d,dist,lndist,trade_o,asean_FTA,contig,comlang_off,comcol,comrelig,gdp_o,gdp_d,rta,home,flow,asean,tariff,reporter_prevalence_score,partner_prevalence_score,international,concat
2021,BRN,BRN,29,3.36729583,0,1,0,0,0,0.413309,14000000,14000000,0,1,0,1,0,0,0,0,BRNBRN
2021,BRN,CHN,2988,8.002359546,429095.77,0,0,0,0,0.015408,14000000,17700000000,1,0,429095.77,0,0.308745,2.4,6.8,1,BRNCHN
2021,BRN,IDN,1527,7.331060305,38537.541,1,0,0,0,0.28002,14000000,1190000000,1,0,38537.541,1,0.362891,2.4,3,1,BRNIDN
2021,BRN,IND,4767,8.469472455,602447.56,1,0,0,1,0.075009,14000000,3170000000,1,0,602447.56,1,0.300325,2.4,4.9,1,BRNIND
2021,BRN,JPN,4246,8.353732642,2206885.9,0,0,0,0,0.000291,14000000,4940000000,1,0,2206885.9,0,0.288444,2.4,3.3,1,BRNJPN
2021,BRN,KHM,1325,7.189167738,7.325,1,0,0,0,0.015451,14000000,27000000,1,0,7.325,1,0,2.4,4.4,1,BRNKHM
2021,BRN,LAO,1971,7.586296307,1.53,1,0,0,0,0.006698,14000000,18800000,1,0,1.53,1,0,2.4,3.2,1,BRNLAO
2021,BRN,MMR,2434,7.797291274,18.954,1,0,0,1,0.023752,14000000,65100000,1,0,18.954,1,0,2.4,2.6,1,BRNMMR
2021,BRN,MYS,1486,7.303843225,611525.01,1,1,1,1,0.318198,14000000,373000000,1,0,611525.01,1,0.274305,2.4,2.4,1,BRNMYS
2021,BRN,PHL,1257,7.136483209,119006.44,1,0,0,0,0.054936,14000000,394000000,1,0,119006.44,1,0.314803,2.4,4,1,BRNPHL
2021,BRN,SGP,1298,7.168579897,966886.27,1,0,0,1,0.113498,14000000,397000000,1,0,966886.27,1,0.276459,2.4,2.6,1,BRNSGP
2021,BRN,THA,1857,7.526717561,552123.92,1,0,0,0,0.025188,14000000,506000000,1,0,552123.92,1,0.318917,2.4,2.1,1,BRNTHA
2021,BRN,USA,14867,9.606899271,36756.404,0,0,0,0,0.019532,14000000,23000000000,0,0,36756.404,0,0.249647,2.4,4.1,1,BRNUSA
2021,BRN,VNM,1116,7.017506143,198742.88,1,0,0,0,0.00769,14000000,363000000,1,0,198742.88,1,0.32613,2.4,5,1,BRNVNM
2021,CHN,ARE,6430,8.768729817,33450537,0,0,0,0,0.022776,17700000000,3.66E+11,0,0,33450537,0,6.48779,6.8,3.4,1,CHNARE
2021,CHN,AUS,8024,8.99019233,48103255,0,0,0,0,0.000048,17700000000,1540000000,1,0,48103255,0,7.04675,6.8,3.5,1,CHNAUS
2021,CHN,BRN,2988,8.002359546,649638.03,0,0,0,0,0.015408,17700000000,14000000,1,0,649638.03,0,5.04754,6.8,2.4,1,CHNBRN
2021,CHN,CHN,1163,7.058758153,156820006,0,0,0,0,0.000576,17700000000,17700000000,0,1,156820006,0,0,6.8,6.8,0,CHNCHN
2021,CHN,IDN,4425,8.395025557,45685376,0,0,0,0,0.010416,17700000000,1190000000,1,0,45685376,0,6.92143,6.8,3,1,CHNIDN
2021,CHN,IND,4252,8.355144739,74924285,0,1,0,0,0.002784,17700000000,3170000000,1,0,74924285,0,6.76154,6.8,4.9,1,CHNIND
2021,CHN,JPN,1763,7.474772182,143200000,0,0,0,0,0,17700000000,4940000000,0,0,143200000,0,7.03696,6.8,3.3,1,CHNJPN
2021,CHN,KHM,2763,7.924072325,8000644,0,0,0,0,0.000576,17700000000,27000000,1,0,8000644,0,6.73124,6.8,4.4,1,CHNKHM
2021,CHN,LAO,2402,7.784057003,1787923.8,0,1,0,0,0.00024,17700000000,18800000,1,0,1787923.8,0,6.58668,6.8,3.2,1,CHNLAO
2021,CHN,MMR,3017,8.012018239,12331175,0,1,0,0,0.000864,17700000000,65100000,1,0,12331175,0,7.06501,6.8,2.6,1,CHNMMR
2021,CHN,MYS,3737,8.226038429,52481330,0,0,1,0,0.011856,17700000000,373000000,1,0,52481330,0,6.79429,6.8,2.4,1,CHNMYS
2021,CHN,PHL,1841,7.518064181,40752779,0,0,0,0,0.001032,17700000000,394000000,1,0,40752779,0,6.69136,6.8,4,1,CHNPHL
2021,CHN,SGP,3797,8.24196656,54960434,0,0,1,0,0.004176,17700000000,397000000,1,0,54960434,0,6.54754,6.8,2.6,1,CHNSGP
2021,CHN,THA,2887,7.96797318,45619368,0,0,0,0,0.000936,17700000000,506000000,1,0,45619368,0,7.1275,6.8,2.1,1,CHNTHA
2021,CHN,USA,11883,9.382864086,418600000,0,0,0,0,0.000192,17700000000,23000000000,0,0,418600000,0,7.21495,6.8,4.1,1,CHNUSA
2021,CHN,VNM,2732,7.912789221,98003384,0,1,0,0,0.00024,17700000000,363000000,1,0,98003384,0,6.98094,6.8,5,1,CHNVNM
2021,IDN,ARE,6572,8.790573479,1468310.7,0,0,0,0,0.412118,1190000000,1.19E+11,0,0,1468310.7,0,9.1832,3,3.4,1,IDNARE
2021,IDN,AUS,5202,8.556798446,2217346.4,0,0,0,0,0.02014,1190000000,1540000000,1,0,2217346.4,0,8.962,3,3.5,1,IDNAUS
